Day of the year,LMP average day-head price,Monthly Average Value (2016-2021)
207,31.75454169,38.58142857
208,41.36095206,38.58142857
209,37.65759388,38.58142857
210,38.7369879,38.58142857
211,33.60623689,38.58142857
212,40.27131001,38.58142857
213,46.91265052,42.01571429
214,57.38967467,42.01571429
215,41.37694912,42.01571429
216,51.21152559,42.01571429
217,21.14043208,42.01571429
218,40.64880589,42.01571429
219,45.60904915,42.01571429
220,49.0593011,42.01571429
221,47.32849856,42.01571429
222,36.89840959,42.01571429
223,43.11222406,42.01571429
224,28.15071437,42.01571429
225,31.29197712,42.01571429
226,49.29091956,42.01571429
227,44.7613496,42.01571429
228,45.4490601,42.01571429
229,37.32849736,42.01571429
230,33.42514851,42.01571429
231,46.30079823,42.01571429
232,34.66616089,42.01571429
233,19.42834873,42.01571429
234,45.25417947,42.01571429
235,42.41517831,42.01571429
236,39.4972913,42.01571429
237,37.33843619,42.01571429
238,37.72421645,42.01571429
239,60.42877665,42.01571429
240,46.34500393,42.01571429
241,48.04850364,42.01571429
242,33.69591509,42.01571429
243,38.97560412,42.01571429
244,27.86117358,34.15
245,27.68956072,34.15
246,43.55291197,34.15
247,13.98764246,34.15
248,35.39009718,34.15
249,29.86713655,34.15
250,39.38311927,34.15
251,44.03407207,34.15
252,27.98340651,34.15
253,40.73404838,34.15
254,44.3526547,34.15
255,34.83622636,34.15
256,31.46642584,34.15
257,39.06332838,34.15
258,35.31643434,34.15
259,30.58705757,34.15
260,32.16743663,34.15
261,25.23657409,34.15
262,34.62472659,34.15
263,18.59941698,34.15
264,24.93305858,34.15
265,26.00785496,34.15
266,22.74798721,34.15
267,44.31600934,34.15
268,48.53826545,34.15
269,40.4387622,34.15
270,46.53296719,34.15
271,45.51343279,34.15
272,35.71155685,34.15
273,41.46186052,34.15
274,23.75890913,34.67
275,44.51964067,34.67
276,27.10636285,34.67
277,65.55102496,34.67
278,29.93030637,34.67
279,36.38799744,34.67
280,30.98543099,34.67
281,32.99930663,34.67
282,36.13743137,34.67
283,48.12137276,34.67
284,26.807142,34.67
285,38.78569082,34.67
286,55.37083107,34.67
287,43.60295786,34.67
288,46.83116861,34.67
289,25.90754462,34.67
290,35.60740128,34.67
291,26.38106864,34.67
292,36.13763206,34.67
293,50.1216677,34.67
294,38.41312544,34.67
295,26.34690686,34.67
296,27.6456057,34.67
297,26.12175341,34.67
298,25.90309921,34.67
299,31.53326144,34.67
300,17.89255979,34.67
301,34.72447602,34.67
302,12.20654557,34.67
303,54.51798382,34.67
304,10.50793343,34.67
305,48.49676633,40.75142857
306,65.11516775,40.75142857
307,38.54010096,40.75142857
308,60.21570471,40.75142857
309,51.51998522,40.75142857
310,48.04361443,40.75142857
311,52.02394249,40.75142857
312,31.79909193,40.75142857
313,27.11456052,40.75142857
314,51.8182374,40.75142857
315,50.06975276,40.75142857
316,22.29856953,40.75142857
317,33.04318094,40.75142857
318,49.69568508,40.75142857
319,42.12866529,40.75142857
320,26.51640694,40.75142857
321,51.5297552,40.75142857
322,52.42479734,40.75142857
323,46.81656592,40.75142857
324,39.35368472,40.75142857
325,47.13973471,40.75142857
326,30.72000491,40.75142857
327,41.66769429,40.75142857
328,22.12611909,40.75142857
329,27.06773964,40.75142857
330,52.69619305,40.75142857
331,36.43489025,40.75142857
332,42.58944139,40.75142857
333,24.08831203,40.75142857
334,42.73209317,40.75142857
335,35.26155222,60.15
336,63.77913089,60.15
337,56.854123,60.15
338,51.99031098,60.15
339,56.63542947,60.15
340,50.64623749,60.15
341,31.97587241,60.15
342,74.17628641,60.15
343,66.76867656,60.15
344,62.65182399,60.15
345,41.64216501,60.15
346,43.08902124,60.15
347,52.30190123,60.15
348,35.65516119,60.15
349,57.64331544,60.15
350,51.22479995,60.15
351,82.07357797,60.15
352,84.06057469,60.15
353,54.50382215,60.15
354,61.97491884,60.15
355,52.4834676,60.15
356,38.96912246,60.15
357,59.75945522,60.15
358,73.91963418,60.15
359,55.31255149,60.15
360,79.38537211,60.15
361,55.14709563,60.15
362,33.54880321,60.15
363,49.56491492,60.15
364,65.28063155,60.15
365,53.56361146,60.15
